Generation,Champion Fitness,Champion Complexity,Champion Depth
1,12566,13,3
2,12566,13,3
3,12736,13,3
4,12736,13,3
5,12736,13,3
6,13671,11,3
7,13671,9,3
8,14559,9,3
9,14565,11,3
10,67905,15,4
11,67905,15,4
12,67905,15,4
13,67905,15,4
14,67905,15,4
15,78406,13,3
16,78406,13,3
17,79632,15,4
18,79632,15,4
19,79632,13,3
20,79632,23,5
21,80249,17,5
22,82751,27,5
23,82751,31,6
24,82751,31,6
25,82751,33,6
26,82751,37,8
27,82751,31,6
28,82751,47,8
29,82751,29,5
30,83712,47,8
31,83712,55,8
32,83712,113,13
33,83712,53,8
34,83712,67,13
35,83712,53,8
36,83712,67,11
37,83712,89,13
38,83712,77,14
39,83712,91,13
40,83712,109,13
41,83712,93,13
42,83712,153,22
43,83712,111,13
44,83712,53,10
45,83712,177,25
46,83712,71,10
47,83712,101,18
48,83712,95,11
49,83712,167,21
50,84888,179,16
51,84888,181,16
52,84888,217,17
53,84888,181,16
54,84888,217,17
55,84888,215,17
56,84888,201,17
57,84888,211,23
58,84888,307,24
59,84888,211,23
60,84888,373,18
61,84888,285,25
62,84888,285,25
63,84888,225,23
64,84888,299,20
65,84888,305,30
66,84888,325,37
67,84888,159,15
68,84888,187,17
69,84888,151,15
70,84888,341,18
71,84888,229,25
72,84888,259,29
73,84888,161,17
74,84888,307,29
75,84888,379,34
76,84888,257,29
77,84888,163,22
78,84888,301,29
79,84888,93,12
80,84888,329,30
81,84888,199,17
82,84888,141,13
83,84888,175,20
84,84888,229,25
85,84888,289,32
86,84888,235,27
87,84888,79,10
88,84888,217,19
89,84888,223,22
90,84888,161,22
91,84888,185,20
92,84888,359,30
93,84888,221,25
94,84888,295,38
95,84888,223,22
96,84888,333,28
97,84888,333,32
98,84888,339,30
99,84888,363,30
100,84888,299,32
101,84888,225,26
102,84888,379,30
103,84888,335,30
104,84888,389,33
105,84888,165,24
106,84888,323,26
107,84888,337,31
108,84888,243,31
109,84888,259,28
110,84888,381,38
111,84888,385,29
112,84888,191,21
113,84888,349,32
114,84888,397,33
115,84888,131,16
116,84888,245,26
117,84888,261,25
118,84888,349,32
119,84888,343,29
120,84888,257,28
121,84888,237,28
122,84888,343,32
123,84888,345,31
124,84888,299,26
125,84888,363,30
126,84888,191,20
127,84888,291,28
128,84888,297,26
129,84888,273,32
130,84888,333,29
131,84888,251,24
132,84888,285,28
133,84888,353,30
134,84888,307,29
135,84888,269,36
136,84888,319,34
137,84888,281,34
138,84888,319,27
139,84888,263,34
140,84888,275,35
141,84888,295,35
142,84888,301,28
143,84888,257,35
144,84888,297,26
145,84888,387,33
146,84888,315,28
147,84888,377,34
148,84888,355,34
149,84888,343,24
150,84888,313,35
151,84888,329,28
152,84888,239,25
153,84888,183,21
154,84888,307,33
155,84888,323,35
156,84888,255,33
157,84888,245,32
158,84888,217,23
159,84888,177,27
160,84888,329,25
161,84888,123,17
162,84888,295,28
163,84888,375,28
164,84888,295,28
165,84888,301,34
166,84888,285,35
167,84888,383,35
168,84888,329,30
169,84888,347,30
170,84888,285,28
171,84888,375,34
172,84888,285,28
173,84888,245,25
174,84888,323,42
175,84888,359,48
176,84888,323,35
177,84888,399,34
178,84888,295,25
179,84888,299,34
180,84888,175,17
181,84888,233,27
182,84888,337,28
183,84888,207,22
184,84888,281,30
185,84888,331,28
186,84888,255,22
187,84888,323,27
188,84888,333,34
189,84888,341,28
190,84888,269,21
191,84888,253,26
192,84888,319,28
193,84888,171,18
194,84888,261,25
195,84888,261,21
196,84888,341,28
197,84888,265,27
198,84888,309,34
199,84888,277,27
200,84888,257,27
201,84888,207,19
202,84888,309,30
203,84888,293,31
204,84888,167,19
205,84888,337,30
206,84888,239,28
207,84888,335,26
208,84888,337,26
209,84888,305,31
210,84888,297,25
211,84888,289,31
212,84888,321,31
213,84888,275,21
214,84888,285,30
215,84888,291,27
216,84888,243,28
217,84888,219,17
218,84888,339,24
219,84888,295,27
220,84888,187,19
221,84888,211,19
222,84888,325,28
223,84888,263,21
224,84888,235,19
225,84888,245,18
226,84888,237,21
227,84888,309,21
228,84888,73,11
229,84888,361,38
230,84888,269,21
231,84888,367,38
232,84888,321,36
233,84888,305,36
234,84888,371,25
235,84888,331,36
236,84888,297,36
237,84888,367,38
238,84888,241,26
239,84888,207,20
240,84888,187,18
241,85804,243,22
242,85804,245,22
243,85804,243,22
244,85804,193,18
245,85804,193,18
246,85804,83,12
247,85804,139,13
248,85804,231,22
249,85804,159,12
250,85804,305,22
251,85804,149,12
252,85804,287,24
253,86615,277,22
254,86615,277,22
255,86615,267,22
256,86615,277,22
257,86615,267,22
258,86615,255,22
259,86615,275,22
260,86615,251,22
261,86615,205,17
262,86615,253,22
263,86615,263,22
264,86615,173,17
265,86615,249,25
266,86615,259,25
267,86615,339,21
268,86615,303,19
269,86615,249,20
270,86615,235,22
271,86615,231,22
272,86615,369,21
273,86615,327,19
274,86615,237,24
275,86615,305,19
276,86615,297,22
277,86615,325,23
278,86615,251,23
279,86615,225,23
280,86615,233,18
281,86615,245,22
282,86615,263,19
283,86615,377,22
284,86615,271,23
285,86615,223,18
286,86615,381,27
287,86615,307,19
288,86615,295,20
289,86615,305,19
290,86615,381,22
291,86615,273,19
292,86615,245,18
293,86615,331,23
294,86615,359,23
295,86615,321,22
296,86615,269,18
297,86615,359,26
298,86615,115,20
299,86615,371,20
300,86615,271,22
301,86615,323,22
302,86615,297,23
303,86615,245,27
304,86615,349,23
305,86615,301,25
306,86615,333,23
307,86615,369,23
308,86615,273,21
309,86615,233,19
310,86615,347,36
311,86615,323,30
312,86615,275,27
313,86615,223,17
314,86615,321,26
315,87046,377,29
316,87046,377,29
317,87046,353,29
318,87046,377,30
319,87046,349,23
320,87046,363,23
321,87046,335,23
322,87046,345,24
323,87046,367,30
324,87046,315,31
325,87046,389,29
326,87046,319,19
327,87046,333,26
328,87046,227,17
329,87046,367,29
330,87046,257,19
331,87046,399,29
332,87046,373,29
333,87046,235,24
334,87046,229,17
335,87046,359,24
336,87046,207,19
337,87046,391,28
338,87046,367,23
339,87046,241,21
340,87046,195,19
341,87046,205,22
342,87046,381,28
343,87046,247,21
344,87046,287,24
345,87046,319,28
346,87046,319,29
347,87046,269,29
348,87046,277,29
349,87046,243,26
350,87046,261,24
351,87046,215,29
352,87046,229,24
353,87046,225,23
354,87046,261,17
355,87046,327,35
356,87046,201,23
357,87046,345,29
358,87046,225,22
359,87046,243,22
360,87046,187,22
361,87046,365,29
362,87046,223,22
363,87046,381,42
364,87046,359,29
365,87046,359,29
366,87046,135,16
367,87046,391,41
368,87046,341,29
369,87046,311,28
370,87046,149,21
371,87046,349,28
372,87046,245,27
373,87046,335,29
374,87046,139,16
375,87046,257,27
376,87046,359,29
377,87046,211,27
378,87046,323,29
379,87046,179,20
380,87046,121,16
381,87046,195,20
382,87046,333,27
383,87046,383,27
384,87046,363,28
385,87046,205,22
386,87046,329,27
387,87046,151,19
388,87046,251,23
389,87046,353,30
390,87046,231,23
391,87046,319,32
392,87046,259,26
393,87046,157,22
394,87046,317,32
395,87046,177,21
396,87046,211,27
397,87046,297,31
398,87046,265,25
399,87046,349,32
400,87046,367,33
401,87046,353,32
402,87046,241,25
403,87046,299,23
404,87046,211,20
405,87046,191,28
406,87046,365,33
407,87046,363,33
408,87046,171,25
409,87046,363,33
410,87046,371,33
411,87046,207,20
412,87046,199,25
413,87046,213,25
414,87046,207,23
415,87046,211,26
416,87046,211,38
417,87046,227,32
418,87046,323,24
419,87046,361,33
420,87046,339,27
421,87046,257,38
422,87046,243,38
423,87046,193,21
424,87046,295,24
425,87046,247,24
426,87046,181,35
427,87046,265,24
428,87046,221,30
429,87046,231,23
430,87046,337,48
431,87046,211,32
432,87046,315,42
433,87046,211,32
434,87046,315,42
435,87046,347,50
436,87046,235,35
437,87046,149,30
438,87046,217,42
439,87046,201,35
440,87046,243,35
441,87046,217,27
442,87046,353,48
443,87046,189,29
444,87046,353,48
445,87046,345,48
446,87046,195,42
447,87046,259,42
448,87046,337,41
449,87046,351,48
450,87046,329,48
451,87046,335,49
452,87046,259,34
453,87046,273,41
454,87046,329,37
455,87046,365,48
456,87046,351,46
457,87046,365,37
458,87046,371,44
459,87046,357,48
460,87046,301,37
461,87046,319,43
462,87046,359,48
463,87046,329,34
464,87046,331,34
465,87046,285,41
466,87046,285,44
467,87046,395,31
468,87046,239,33
469,87046,349,48
470,87046,333,48
471,87046,329,31
472,87046,353,48
473,87046,185,21
474,87046,249,36
475,87046,319,48
476,87046,267,41
477,87046,333,49
478,87046,279,36
479,87046,313,31
480,87046,279,36
481,87046,273,43
482,87046,181,29
483,87046,269,29
484,87046,233,30
485,87046,219,25
486,87046,223,35
487,87046,265,29
488,87046,229,35
489,87046,277,37
490,87046,249,37
491,87046,265,31
492,87046,163,23
493,87046,299,43
494,87046,255,38
495,87046,223,24
496,87046,295,43
497,87046,165,22
498,87046,237,29
499,87046,219,26
500,87046,193,21
501,87046,233,37
502,87046,291,29
503,87046,151,29
504,87046,197,26
505,87046,245,23
506,87046,165,26
507,87046,263,29
508,87046,233,28
509,87046,209,26
510,87046,193,27
511,87046,235,26
512,87046,285,30
513,87046,335,30
514,87046,323,29
515,87046,171,24
516,87046,337,30
517,87046,333,30
518,87046,315,29
519,87046,289,29
520,87046,231,26
521,87046,223,33
522,87046,333,31
523,87046,357,31
524,87046,277,35
525,87046,309,23
526,87046,363,30
527,87046,355,29
528,87046,385,31
529,87046,365,29
530,87046,283,26
531,87046,213,33
532,87046,323,24
533,87046,361,31
534,87046,343,29
535,87046,253,23
536,87046,327,31
537,87046,383,30
538,87046,351,43
539,87046,279,21
540,87046,355,37
541,87046,293,34
542,87046,343,24
543,87046,369,26
544,87046,311,26
545,87046,369,26
546,87046,383,26
547,87046,167,16
548,87046,397,26
549,87046,293,26
550,87046,279,26
551,87046,361,28
552,87046,243,29
553,87046,353,26
554,87046,293,35
555,87046,337,26
556,87046,373,44
557,87046,257,29
558,87046,277,28
559,87046,261,28
560,87046,299,40
561,87046,397,26
562,87046,321,40
563,87046,345,23
564,87046,293,36
565,87046,343,40
566,87046,235,26
567,87046,321,34
568,87046,223,24
569,87046,169,25
570,87046,283,24
571,87046,355,28
572,87046,307,26
573,87046,387,23
574,87046,349,28
575,87046,295,22
576,87046,271,25
577,87046,281,24
578,87046,307,25
579,87046,193,20
580,87046,297,24
581,87046,283,24
582,87046,319,25
583,87046,361,28
584,87046,385,32
585,87046,335,32
586,87046,335,33
587,87046,389,30
588,87046,343,26
589,87046,171,20
590,87046,329,25
591,87046,165,27
592,87046,395,30
593,88150,341,31
594,88150,335,31
595,88150,347,31
596,88150,335,31
597,88150,335,31
598,88150,339,31
599,88150,273,31
600,88150,351,31
601,88150,301,31
602,88150,327,31
603,88150,329,31
604,88150,341,32
605,88150,373,31
606,88150,291,31
607,88150,379,31
608,88150,311,27
609,88150,217,28
610,88150,227,27
611,88150,303,31
612,88150,333,32
613,88150,313,32
614,88150,241,25
615,88150,291,30
616,88150,351,30
617,88150,227,34
618,88150,321,32
619,88150,347,30
620,88150,351,30
621,88150,253,26
622,88150,331,32
623,88150,263,32
624,88150,327,32
625,88150,305,30
626,88150,327,32
627,88150,187,28
628,88150,361,31
629,88150,325,32
630,88150,399,32
631,88150,243,25
632,88150,323,31
633,88150,279,32
634,88150,335,32
635,88150,307,31
636,88150,331,32
637,88150,247,31
638,88150,355,33
639,88150,263,31
640,88150,359,33
641,88150,367,31
642,88150,255,31
643,88150,291,34
644,88150,305,32
645,88150,237,24
646,88150,289,31
647,88150,271,33
648,88150,325,32
649,88150,313,33
650,88150,387,35
651,88150,305,31
652,88150,269,31
653,88150,305,41
654,88150,315,31
655,88150,247,34
656,88150,305,31
657,88150,259,31
658,88150,343,32
659,88150,347,33
660,88150,345,31
661,88150,347,38
662,88150,267,41
663,88150,289,24
664,88150,303,32
665,88150,331,32
666,88150,343,28
667,88150,177,19
668,88150,349,35
669,88150,263,35
670,88150,315,35
671,88150,177,19
672,88150,189,22
673,88150,281,35
674,88150,333,29
675,88150,297,29
676,88150,219,24
677,88150,193,20
678,88150,343,41
679,88150,295,36
680,88150,279,32
681,88150,295,36
682,88150,309,39
683,88150,301,35
684,88150,275,29
685,88150,237,27
686,88150,273,38
687,88150,181,25
688,88150,311,38
689,88150,369,34
690,88150,321,44
691,88150,267,28
692,88150,265,32
693,88150,339,36
694,88150,337,41
695,88150,227,32
696,88150,269,32
697,88150,357,34
698,88150,307,36
699,88150,249,29
700,88150,211,32
701,88150,253,25
702,88150,269,27
703,88150,117,14
704,88150,241,26
705,88150,249,28
706,88150,215,29
707,88150,277,39
708,88150,251,27
709,88150,341,30
710,88150,269,39
711,88150,249,34
712,88150,199,24
713,88150,367,34
714,88150,217,29
715,88150,303,34
716,88150,387,42
717,88150,243,46
718,88150,289,34
719,88150,255,34
720,88150,185,25
721,88150,275,48
722,88150,189,34
723,88150,137,21
724,88150,89,16
725,88150,189,34
726,88150,337,41
727,88150,335,36
728,88150,361,31
729,88150,257,34
730,88150,155,29
731,88150,295,30
732,88150,383,42
733,88150,159,21
734,88150,213,25
735,88150,207,38
736,88150,169,30
737,88150,261,30
738,88150,201,30
739,88150,183,35
740,88150,299,30
741,88150,231,38
742,88150,345,42
743,88150,393,42
744,88150,393,42
745,88150,317,42
746,88150,399,42
747,88150,289,29
748,88150,231,26
749,88150,383,32
750,88150,179,22
