Generation,Champion Fitness,Champion Complexity,Champion Depth
1,7944,35,5
2,8148,35,5
3,8371,57,5
4,14267,13,3
5,14267,13,3
6,14267,13,3
7,14631,9,3
8,15677,17,4
9,15677,17,4
10,15799,11,3
11,15799,11,3
12,15799,11,3
13,15799,11,3
14,15799,11,3
15,15946,19,5
16,73397,39,9
17,76336,33,8
18,78466,19,6
19,78466,19,6
20,78466,27,7
21,78466,27,6
22,80896,19,6
23,80896,19,6
24,80896,19,6
25,80899,11,4
26,84059,13,4
27,84059,11,4
28,84059,13,4
29,84059,17,5
30,84059,25,8
31,84059,17,5
32,84059,21,7
33,84059,17,5
34,84059,17,5
35,84059,21,6
36,84059,135,20
37,84059,29,8
38,84059,53,13
39,84059,27,9
40,84059,31,9
41,84059,63,15
42,84059,49,12
43,84059,61,18
44,84059,35,8
45,84059,113,21
46,84059,49,11
47,84059,15,4
48,84059,117,21
49,84059,75,13
50,84059,123,22
51,84059,39,7
52,84059,169,32
53,84378,125,19
54,84378,125,19
55,84378,125,19
56,84378,139,19
57,84378,93,17
58,84378,81,14
59,84378,95,14
60,84378,93,13
61,84378,131,24
62,84378,131,17
63,84378,153,19
64,84398,35,8
65,84398,35,8
66,84398,29,8
67,84398,55,13
68,84398,31,8
69,84398,59,10
70,84398,151,27
71,84398,149,27
72,84398,81,17
73,84398,155,27
74,84398,43,8
75,84398,111,17
76,84398,67,12
77,84398,125,17
78,84398,147,27
79,84398,191,27
80,84398,183,26
81,84398,123,24
82,84398,183,26
83,84398,145,20
84,84398,177,26
85,85127,171,27
86,85127,171,27
87,85127,171,27
88,85127,179,27
89,85127,187,28
90,85127,175,27
91,85127,183,27
92,85127,187,27
93,85127,179,27
94,85127,185,27
95,85127,195,30
96,85127,97,17
97,85127,177,21
98,85127,145,18
99,85127,147,20
100,85127,185,31
101,85127,179,23
102,85127,163,31
103,85127,179,36
104,85127,141,27
105,85127,151,24
106,85127,183,31
107,85127,145,27
108,85127,163,33
109,85127,177,31
110,85127,87,14
111,85127,125,16
112,85127,91,14
113,85127,129,21
114,85127,171,26
115,85127,183,27
116,85127,195,25
117,85127,131,24
118,85127,127,21
119,85127,181,22
120,85127,163,20
121,85680,81,20
122,85680,79,20
123,85680,83,21
124,85680,81,20
125,85680,81,20
126,85680,99,26
127,85680,89,20
128,85680,87,19
129,85680,71,18
130,85680,101,24
131,85680,125,20
132,85680,137,22
133,85680,155,29
134,85680,119,22
135,85680,195,39
136,85680,129,28
137,85680,135,31
138,85680,129,31
139,85680,133,24
140,85680,195,34
141,85680,165,25
142,85680,117,24
143,85680,145,30
144,85680,117,24
145,85680,133,25
146,85680,169,30
147,85680,107,18
148,85680,135,26
149,85680,145,28
150,85680,159,35
151,85680,135,26
152,85680,179,40
153,85680,151,27
154,85680,73,18
155,85680,151,23
156,85680,157,25
157,85680,113,23
158,85680,147,22
159,85680,135,30
160,85680,79,16
161,85680,115,23
162,85680,77,16
163,85680,187,28
164,85680,147,26
165,85680,141,30
166,85680,105,22
167,85680,107,24
168,85680,99,20
169,85680,69,14
170,85680,85,14
171,85680,167,27
172,85680,163,31
173,85680,121,20
174,85680,197,40
175,85680,159,28
176,85680,147,23
177,85680,111,25
178,85680,165,28
179,85680,169,27
180,85680,157,28
181,85680,165,28
182,85680,117,24
183,85680,183,28
184,85680,141,30
185,85680,175,36
186,85680,97,19
187,85680,163,30
188,85680,155,32
189,85680,139,23
190,85680,117,24
191,85680,185,36
192,85680,143,26
193,85680,183,32
194,85680,185,36
195,85680,99,22
196,85680,189,32
197,85680,181,31
198,85680,187,32
199,85680,193,33
200,85680,153,35
201,85680,195,32
202,85680,127,30
203,85680,119,20
204,85680,183,27
205,85680,107,17
206,85680,171,25
207,85680,155,29
208,85680,89,15
209,85680,101,18
210,85680,147,29
211,85680,197,30
212,85680,89,17
213,85680,147,20
214,85680,183,29
215,85680,191,29
216,85680,77,15
217,85680,97,15
218,85680,155,29
219,85680,157,20
220,85680,127,19
221,85680,165,21
222,85680,81,15
223,85680,111,19
224,85680,133,26
225,85680,179,19
226,85680,109,16
227,85680,157,17
228,85680,147,21
229,85680,77,17
230,85680,99,18
231,85680,99,18
232,85680,137,21
233,85680,157,18
234,85680,123,20
235,85680,193,17
236,85680,171,18
237,85680,135,22
238,85680,137,23
239,85680,113,20
240,85680,129,21
241,85680,133,23
242,85680,115,14
243,85680,161,26
244,85680,159,23
245,85680,113,17
246,85680,83,17
247,85680,117,17
248,85680,155,25
249,85680,197,26
250,85680,145,17
251,85680,107,17
252,85680,111,17
253,85680,121,18
254,85680,187,19
255,85680,117,15
256,85680,133,15
257,85680,91,15
258,85680,115,20
259,85680,127,21
260,85680,171,20
261,85680,125,17
262,85680,157,16
263,85680,125,21
264,85680,101,16
265,85680,127,21
266,85680,169,24
267,85680,115,19
268,85680,169,21
269,85680,123,15
270,85680,131,15
271,85680,177,22
272,85680,163,21
273,85680,153,29
274,85680,147,20
275,85680,153,29
276,85680,153,20
277,85680,161,20
278,85680,183,23
279,85680,137,15
280,85680,169,20
281,85680,115,16
282,85680,63,12
283,85680,63,12
284,85680,189,26
285,85680,193,26
286,85695,19,6
287,85695,19,6
288,85695,19,6
289,85695,17,6
290,85695,19,6
291,85695,99,21
292,85695,99,21
293,85695,95,18
294,85695,39,12
295,85695,97,21
296,86099,53,12
297,86099,53,12
298,86099,55,12
299,86099,45,10
300,86099,79,15
301,86099,75,17
302,86099,45,10
303,86099,135,12
304,86099,77,15
305,86099,143,24
306,86099,149,17
307,86099,73,17
308,86099,91,18
309,86099,59,12
310,86099,61,14
311,86099,47,12
312,86099,115,19
313,86099,129,17
314,86099,93,15
315,86099,97,16
316,86099,141,28
317,86099,163,20
318,86099,59,12
319,86099,137,14
320,86099,143,21
321,86099,107,20
322,86099,131,12
323,86099,91,20
324,86099,91,20
325,86099,195,26
326,86099,163,26
327,86099,197,30
328,86099,173,27
329,86099,179,30
330,86099,139,23
331,86099,121,18
332,86099,163,31
333,86099,95,15
334,86099,151,23
335,86099,147,30
336,86099,167,31
337,86099,131,25
338,86099,163,31
339,86099,155,26
340,86099,143,26
341,86099,145,25
342,86099,63,12
343,86099,175,34
344,86444,39,12
345,86444,39,12
346,86444,39,12
347,86444,39,12
348,86444,39,12
349,86444,25,10
350,86444,29,12
351,86444,29,12
352,86444,99,19
353,86444,31,12
354,86444,95,19
355,86444,99,19
356,86444,115,21
357,86444,103,19
358,86444,101,19
359,86444,169,22
360,86444,79,11
361,86444,113,20
362,86444,77,11
363,86444,81,10
364,86444,121,20
365,86444,149,18
366,86444,149,24
367,86444,123,17
368,86444,165,25
369,86444,197,32
370,86444,117,15
371,86444,145,27
372,86444,115,15
373,86444,145,23
374,86444,153,23
375,86444,151,16
376,86444,33,10
377,86444,75,14
378,86444,155,20
379,86444,75,14
380,86444,87,15
381,86444,165,24
382,86444,195,20
383,86444,133,23
384,86444,181,25
385,86444,115,16
386,86444,79,11
387,86444,119,15
388,86444,185,32
389,86444,147,25
390,86444,131,21
391,86444,191,33
392,86444,115,16
393,86444,91,17
394,86444,93,22
395,86444,77,13
396,86444,105,24
397,86444,99,22
398,86444,105,24
399,86444,93,20
400,86444,99,14
401,86444,59,13
402,86444,107,21
403,86444,189,31
404,86444,161,27
405,86444,197,33
406,86444,173,31
407,86444,159,31
408,86444,127,17
409,86444,151,18
410,86444,105,20
411,86444,125,27
412,86444,167,33
413,86444,101,21
414,86444,103,21
415,86444,181,32
416,86444,101,21
417,86444,119,20
418,86444,119,17
419,86444,163,28
420,86444,179,28
421,86444,155,19
422,86444,117,25
423,86444,123,25
424,86444,141,26
425,86444,101,21
426,86444,151,27
427,86444,135,28
428,86444,159,26
429,86444,151,34
430,86444,183,30
