Generation,Champion Fitness,Champion Complexity,Champion Depth
1,1033,23,4
2,2655,19,4
3,2655,19,4
4,2868,15,4
5,3405,31,4
6,3405,31,4
7,3405,59,7
8,3552,27,5
9,3552,27,5
10,3552,27,5
11,3552,27,5
12,3552,15,4
13,3552,117,15
14,3552,109,15
15,3552,113,15
16,3555,11,4
17,3555,43,7
18,3555,23,4
19,3555,69,13
20,3555,31,7
21,3555,65,13
22,3555,91,17
23,3555,85,16
24,3555,107,19
25,3555,97,13
26,3555,77,13
27,3555,191,31
28,3555,93,13
29,3555,91,18
30,3555,49,11
31,3555,97,20
32,3555,93,15
33,3555,105,17
34,3555,127,19
35,3555,149,20
36,3555,185,28
37,3555,125,24
38,3555,125,20
39,3555,137,19
40,3555,59,11
41,3555,121,21
42,3555,155,21
43,3555,151,21
44,3555,121,19
45,3555,47,11
46,3555,95,13
47,3555,117,16
48,3555,57,11
49,3581,21,8
50,3581,15,5
51,3581,67,15
52,3581,23,7
53,3581,11,4
54,3581,81,15
55,3581,19,5
56,3581,25,7
57,3581,15,5
58,3581,19,6
59,3581,33,10
60,3581,21,7
61,3581,37,11
62,3581,123,20
63,3581,109,23
64,3581,109,20
65,3581,167,24
66,3581,27,8
67,3581,139,21
68,3581,181,25
69,3581,61,16
70,3581,59,11
71,3581,11,4
72,3581,39,9
73,3581,115,20
74,3581,157,21
75,3581,147,23
76,3581,149,23
77,3581,175,22
78,3581,51,13
79,3581,199,20
80,3581,111,24
81,3581,183,32
82,3581,95,19
83,3581,95,16
84,3581,95,15
85,3581,79,18
86,3581,103,19
87,3581,71,19
88,3581,17,6
89,3581,167,30
90,3584,103,16
91,3584,103,16
92,3584,101,16
93,3584,103,16
94,3584,129,21
95,3584,115,16
96,3584,81,15
97,3584,103,17
98,3584,179,24
99,3584,135,20
100,3584,173,26
101,3584,153,27
102,3584,191,28
103,3584,145,20
104,3584,47,9
105,3584,41,10
106,3584,191,28
107,3584,151,25
108,3584,49,9
109,3584,169,25
110,3584,193,28
111,3584,197,28
112,3584,175,28
113,3584,161,27
114,3584,195,28
115,3584,179,28
116,3584,159,22
117,3584,189,29
118,3584,67,15
119,3584,135,22
120,3584,179,27
121,3584,197,33
122,3584,183,26
123,3584,171,24
124,3584,151,22
125,3584,69,17
126,3584,171,24
127,3584,33,10
128,3584,43,12
129,3586,111,12
130,7612,177,7
131,7763,179,8
132,8125,177,7
133,8125,187,9
134,8276,187,9
135,8511,117,7
136,10132,183,9
137,10132,179,9
138,11018,183,9
139,11018,183,9
140,11018,177,9
141,11018,181,9
142,11019,187,9
143,11397,125,9
144,11605,129,9
145,11605,129,9
146,11605,129,9
147,11605,149,11
148,11605,157,13
149,11605,131,9
150,11605,127,9
151,11605,141,11
152,11605,161,13
153,11605,149,12
154,11605,129,9
155,11605,153,13
156,11605,173,11
157,11605,139,11
158,11605,195,13
159,11605,127,11
160,11605,161,11
161,11605,83,10
162,11606,155,12
163,11606,155,12
164,11606,175,12
165,11606,153,12
166,11606,165,12
167,11606,173,12
168,11606,165,12
169,11606,93,10
170,11606,121,12
171,11606,161,12
172,11606,131,10
173,11606,109,12
174,11606,91,9
175,11606,121,12
176,11606,189,12
177,11606,91,9
178,11606,197,14
179,11606,195,14
180,11606,193,13
181,11606,171,15
182,11606,95,9
183,11606,143,15
184,11606,165,15
185,11606,147,15
186,11606,169,15
187,11642,149,15
188,11642,149,15
189,11642,157,16
190,11831,73,8
191,11831,75,8
192,11844,127,15
193,11844,141,18
194,11844,115,14
195,11844,127,15
196,11844,107,14
197,11844,149,18
198,11844,147,15
199,11844,143,18
200,11844,149,18
201,11844,145,18
202,11844,155,15
203,11844,89,12
204,11844,131,17
205,11844,67,10
206,11852,121,13
207,11852,113,13
208,11852,121,13
209,11852,121,11
210,11852,119,11
211,11852,123,13
212,11852,157,15
213,11852,167,17
214,11852,109,11
215,11852,89,10
216,12180,115,11
217,12180,87,9
218,12180,97,11
219,12180,175,16
220,12180,199,16
221,12180,179,16
222,12180,115,12
223,12180,197,16
224,12180,159,16
225,12180,109,11
226,12180,191,17
227,12180,177,16
228,12180,111,10
229,12180,109,14
230,12181,177,16
231,12181,179,16
232,12181,179,16
233,12181,103,11
234,12181,119,11
235,12181,189,19
236,12181,159,13
237,12181,165,16
238,12181,169,16
239,12181,97,9
240,12181,183,17
241,12181,151,14
242,12181,153,16
243,12181,163,16
244,12181,139,16
245,12181,173,16
246,12181,187,21
247,12181,93,13
248,12181,167,15
249,12181,141,12
250,12181,113,12
251,12181,115,14
252,12181,113,12
253,12181,149,17
254,12181,187,22
255,12181,93,13
256,12181,171,21
257,12181,151,14
258,12181,119,14
259,12181,181,17
260,12181,169,16
261,12181,193,18
262,12181,155,15
263,12187,151,17
264,12187,151,17
265,12187,151,17
266,12187,151,17
267,12187,151,17
268,12187,151,17
269,12187,155,17
270,12187,153,17
271,12187,117,17
272,12187,167,17
273,12187,121,13
274,12187,163,18
275,12187,189,19
276,12187,129,15
277,12187,175,19
278,12187,193,17
279,12187,111,15
280,12187,143,17
