Generation,Champion Fitness,Champion Complexity,Champion Depth
1,1640,35,5
2,3187,7,2
3,3187,7,2
4,3187,7,2
5,3187,7,2
6,3187,11,3
7,3187,7,2
8,3187,7,2
9,3187,7,2
10,3187,7,2
11,3187,7,2
12,3187,7,2
13,3187,7,2
14,3187,7,2
15,3187,7,2
16,3187,7,2
17,3187,7,2
18,3187,7,2
19,3187,7,2
20,3187,7,2
21,3187,7,2
22,3187,7,2
23,3187,7,2
24,3187,7,2
25,3187,7,2
26,3187,7,2
27,3187,19,6
28,3187,7,2
29,3187,29,8
30,3187,35,8
31,3191,63,9
32,3191,63,9
33,3192,35,9
34,3192,41,9
35,3192,111,15
36,3192,99,12
37,3192,61,12
38,3192,113,15
39,3192,85,12
40,3192,105,17
41,3205,73,11
42,3205,73,11
43,3205,73,11
44,3205,111,16
45,3205,109,16
46,3205,119,22
47,3205,103,16
48,3205,101,16
49,3205,119,22
50,3205,75,11
51,3205,123,16
52,3205,103,16
53,3205,133,25
54,3209,123,25
55,3209,107,21
56,3457,109,16
57,3457,109,16
58,3457,97,15
59,3457,37,9
60,3457,181,26
61,3457,111,16
62,3457,131,18
63,3457,69,11
64,3457,197,24
65,3457,121,17
66,3457,45,9
67,3457,125,17
68,3457,35,9
69,3457,185,21
70,3457,161,21
71,3457,185,21
72,3457,101,15
73,3457,101,15
74,3457,197,30
75,3457,65,9
76,3457,145,15
77,3457,181,21
78,3457,111,15
79,3457,183,21
80,3457,83,10
81,3457,113,18
82,3457,57,12
83,3457,149,24
84,3457,111,15
85,3457,193,22
86,3457,57,13
87,3457,107,16
88,3457,139,14
89,3457,57,11
90,3457,99,14
91,3457,175,27
92,3457,195,27
93,3457,143,27
94,3457,165,27
95,3457,115,25
96,3457,163,19
97,3457,67,16
98,3457,93,20
99,3457,141,19
100,3457,163,26
101,3457,169,19
102,3457,185,31
103,3457,93,18
104,3457,155,19
105,3457,129,23
106,3457,81,18
107,3457,157,23
108,3457,157,26
109,3457,155,30
110,3457,127,23
111,3457,79,18
112,3457,135,20
113,3457,169,24
114,3457,181,23
115,3457,185,29
116,3457,185,33
117,3457,93,18
118,3457,65,20
119,3457,113,21
120,3457,105,21
121,3457,99,19
122,3457,133,18
123,3457,163,33
124,3457,115,15
125,3457,125,20
126,3457,81,17
127,3457,125,16
128,3457,179,30
129,3457,79,18
130,3457,199,28
131,3457,95,19
132,3457,173,34
133,3457,191,28
134,3457,97,19
135,3457,113,27
136,3457,197,28
137,3457,175,33
138,3457,179,33
139,3457,149,34
140,3457,181,27
141,3457,107,23
142,3457,101,23
143,3457,183,23
144,3457,103,23
145,3457,179,40
146,3457,137,25
147,3457,103,23
148,3457,153,27
149,3457,155,30
150,3457,91,20
151,3457,179,40
152,3457,159,30
153,3457,71,21
154,3457,157,30
155,3457,129,25
156,3457,139,22
157,3457,185,30
158,3457,53,17
159,3457,137,28
160,3457,123,21
161,3457,179,30
162,3457,51,16
163,3457,169,42
164,3457,111,25
165,3457,107,25
166,3457,123,26
167,3457,67,19
168,3457,193,40
169,3457,75,15
170,3457,83,22
171,3457,181,35
172,3457,149,31
173,3457,165,29
174,3457,149,31
175,3457,123,31
176,3457,159,31
177,3457,91,24
178,3457,193,31
179,3457,139,28
180,3457,167,29
181,3457,177,31
182,3457,151,26
183,3457,193,35
184,3457,141,28
185,3457,139,28
186,3457,107,21
187,3457,187,30
188,3457,141,27
189,3457,105,22
190,3457,79,16
191,3457,79,21
192,3457,99,17
193,3457,143,29
194,3457,177,30
195,3457,145,23
196,3457,155,25
197,3457,193,23
198,3457,99,23
199,3457,151,33
200,3457,165,28
201,3457,137,23
202,3457,101,17
203,3457,151,33
204,3457,155,25
205,3457,29,9
